[ 2025-03-28 13:05:15,275 ] 14 root - INFO - Initiate the data ingestion
[ 2025-03-28 13:05:18,362 ] 77 root - INFO - Performed train-test split on the dataframe.
[ 2025-03-28 13:05:18,389 ] 89 root - INFO - Exported training and testing datasets.
[ 2025-03-28 13:05:18,389 ] 16 root - INFO - Data Initiation Completed
[ 2025-03-28 13:05:18,392 ] 22 root - INFO - Initiate the data validation
[ 2025-03-28 13:05:18,405 ] 31 root - INFO - Required number of columns: 2
[ 2025-03-28 13:05:18,405 ] 32 root - INFO - Data Frame has columns: 31
[ 2025-03-28 13:05:18,405 ] 31 root - INFO - Required number of columns: 2
[ 2025-03-28 13:05:18,405 ] 32 root - INFO - Data Frame has columns: 31
[ 2025-03-28 13:05:18,405 ] 48 root - INFO - All numerical columns exist in the dataframe.
[ 2025-03-28 13:05:18,405 ] 48 root - INFO - All numerical columns exist in the dataframe.
