[ 2025-03-28 13:08:12,116 ] 14 root - INFO - Initiate the data ingestion
[ 2025-03-28 13:08:15,844 ] 77 root - INFO - Performed train-test split on the dataframe.
[ 2025-03-28 13:08:15,874 ] 89 root - INFO - Exported training and testing datasets.
[ 2025-03-28 13:08:15,874 ] 16 root - INFO - Data Initiation Completed
[ 2025-03-28 13:08:15,877 ] 22 root - INFO - Initiate the data validation
[ 2025-03-28 13:08:15,887 ] 170 root - INFO - Required number of columns:2
[ 2025-03-28 13:08:15,887 ] 171 root - INFO - Data frame has columns:31
[ 2025-03-28 13:08:15,887 ] 170 root - INFO - Required number of columns:2
[ 2025-03-28 13:08:15,887 ] 171 root - INFO - Data frame has columns:31
[ 2025-03-28 13:08:15,887 ] 187 root - INFO - All numerical columns exist in the dataframe.
[ 2025-03-28 13:08:15,887 ] 187 root - INFO - All numerical columns exist in the dataframe.
