[ 2025-03-28 14:08:17,074 ] 16 root - INFO - Initiate the data ingestion
[ 2025-03-28 14:09:57,557 ] 77 root - INFO - Performed train-test split on the dataframe.
[ 2025-03-28 14:09:57,584 ] 89 root - INFO - Exported training and testing datasets.
[ 2025-03-28 14:09:57,584 ] 18 root - INFO - Data Initiation Completed
[ 2025-03-28 14:09:57,587 ] 24 root - INFO - Initiate the data validation
[ 2025-03-28 14:09:57,602 ] 32 root - INFO - Required number of columns:2
[ 2025-03-28 14:09:57,602 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-28 14:09:57,602 ] 32 root - INFO - Required number of columns:2
[ 2025-03-28 14:09:57,602 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-28 14:09:57,602 ] 49 root - INFO - All numerical columns exist in the dataframe.
[ 2025-03-28 14:09:57,602 ] 49 root - INFO - All numerical columns exist in the dataframe.
[ 2025-03-28 14:09:57,703 ] 27 root - INFO - Data Validation Completed
[ 2025-03-28 14:09:57,703 ] 32 root - INFO - Initiate the data transformation
[ 2025-03-28 14:09:57,703 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-28 14:09:57,703 ] 67 root - INFO - Starting data transformation
[ 2025-03-28 14:09:57,713 ] 50 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-28 14:09:57,713 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-28 14:09:57,728 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-28 14:09:57,743 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-28 14:09:57,743 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-28 14:09:57,753 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-28 14:09:57,797 ] 35 root - INFO - Data Transformation Completed
